
ভাবী,ভবিষ্যতে হবে এমন
দেয়ালা,স্বপ্নে শিশুর স্বগত হাসি-কান্না 
উপদা,স্বার্থের জন্য অন্যায় অর্থ প্রদান 
স্কন্দাবার,সৈনিকদের বিশ্রাম শিবির 
কল্লোল,সমুদ্রের ঢেউয়ের শব্দ 
হুঙ্কার,সিংহের নাদ (ডাক) 
সিসৃক্ষা,সৃষ্টি করার ইচ্ছা 
সুপাচ্য,সহজে জীর্ণ হয় যা 
অপত্যনির্বিশেষে,সন্তানের মতো যত্নে 
সৌজন্য,সুজনের ভাব 
সায়াহ্নার,সন্ধ্যের আহার 
অভিবাসন,স্বদেশ ত্যাগ করে পরদেশে বসবাস 
ডক,সমুদ্র বা নদীর তীরবর্তী কৃত্রিম জলাশয় 
দাহ্য,সহজে জ্বলে উঠতে পারে এমন 
দূরপনেয়,সহজে মোচন বা দূর করা যায় না এমন 
দুর্ঘট,সচরাচর ঘটে না এমন 
নহবত,সানাই ইত্যাদির ঐকতান 
নবোদিত,সদা উদিত হচ্ছে 
নিঃশেষিত,সম্পূর্ণ ফুরিয়ে গেছে এমন 
নির্বাসিত,স্বদেশ থেকে বহিষ্কৃত 
ভূলোক,সপ্তপাতালসহ পৃথিবী 
সংগৃহীত,সংগ্রহ করা হয়েছে এমন 
সঙ্গোপনে,সম্পূর্ণ গোপনে বা গুপ্তভাবে 
সন্তর্পণে,সতর্কতার সাথে 
সমর্পিত,সমর্পণ করা হয়েছে 
সসম্ভ্রমে,সম্ভ্রমের সাথে 
স্বেচ্ছাসেবক,স্বেচ্ছা প্রণোদিত হয়ে বিনামূল্যে সেবা করে যে 
অঙ্কুশ,হস্তী তাড়নের নিমিত্ত ব্যবহৃত লৌহদণ্ড 
অজিন,হরিণের চামড়া 
জিঘাংসা,হত্যা করার ইচ্ছা 
জিঘাংসু,হত্যা করতে ইচ্ছুক 
থমকান,হঠাৎ থেমে যাওয়া 
বৃংহণ,হাতির ডাক 
পিলখানা,হস্তী রাখার স্থান 
হৈমন্তিক,হেমন্তে জাত 
চতুরঙ্গ,হস্তী অশ্ব রথ ও পদাতিকের সমাহার 
হরবোলা,হরেক রকম কণ্ঠস্বর সহ বলে যে 
সহর্ষ,হর্ষের সাথে বর্তমান 
অজাতশত্রু,এ পর্যন্ত যার শত্রু জন্মায়নি 
একাদিক্রমে,এক থেকে আরম্ভ করে 
ঐকমত্য,এক মতের ভাব 
একতান,এক তান বিশিষ্ট 
নেওটা,একান্ত অনুগত বা ভক্ত 
বিকল্প,একের পরিবর্তে অনেক 
বকলম,একের পরিবর্তে অপরের সই 
বকুনি,এক ভাষার মধ্যে অন্য ভাষার প্রয়োগ 
যুগপৎ,একই সময়ে 
শ্রুতিধর,একবার শুনলে যার মনে থাকে 
যাযাবর,এক স্থান থেকে অন্য স্থানে ঘুরে বেড়ায় যে 
সমসাময়িক,একই সময়ে বর্তমান 
সতীর্থ,একই গুরুর শিষ্য 
একতারা,এক তারযুক্ত বাদ্যযন্ত্র 
সহোদর,একই মায়ের সন্তান 
একচোখা,এক দিকে দৃষ্টি যার 
একগুঁয়ে,এক গোঁ যার 
আগন্তুক,এসেছেন যিনি 
প্রতিশব্দ,একই অর্থের শব্দ 
সমাগত,একত্র আগত 
একত্র,এক স্থানে স্থিত 
সহযাত্রী,এক সঙ্গে যারা যাত্রা করে 
অভিনিবেশ,একভাবে মনোযাগ 
দো-আঁশ,এটেল ও বালিমটি মিশ্রিত 
ঈদৃশ,এর সদৃশ 
পড়শি,এক পাড়ার লোক 
জন্মান্তর,এক জন্ম থেকে অন্য জন্ম 
সদ্যোস্নাত,এইমাত্র যে স্নান করেছে 
সদ্যোজাত,এই মাত্র জন্ম যার 
বদরাগী,একটুতেই যে ক্রুদ্ধ হয় 
সগোত্র,এক গোত্র যার 
সহকর্মী,একই কর্মের সঙ্গী 
সহবাস,এক সঙ্গে বসবাস 
যুগসন্ধি,এক যুগের সারা অন্য যুগের শুরু 
কাকবন্ধ্যা,একবার সন্তান প্রসব করেন যিনি 
মতিভ্রম,এক বস্তুকে অন্যবস্তু মনে করা 
মঞ্জিল,এক দিনের পথ 
স্বগতোক্তি,একা একা কথা বলা 
ধারাবাহিক,একই ধারায় বয়ে চলেছে যা 
হামরাহী,একই পথের পথিক 
এলোকেশী,এলো কেশ যে নারীর 
ভস্মীভূত,এখন ভস্মে পরিণত হয়েছে 
বশীভূত,এখন বসে এসেছে 
একাগ্রচিত্ত,এক বিষয়ে যার চিত্ত নিবিষ্ট 
অধিবেদন,এক স্ত্রী সত্ত্বেও পুরুষের দ্বিতীয়বার বিবাহ 
সপত্নী,একই স্বামীর পত্নী 
অজাতশ্মশ্রু,এখনও গোঁফ দাড়ি গাজায়নি যার 
সহপাঠী,একসাথে পাঠ করে যারা 
বংশীবৃত,এখন বংশ এসেছে যে 
এঁড়েতর্ক,একগুঁয়ে লোকের যুক্তিহীন তর্ক 
দাসানুদাস,একান্ত অনুগত জন 
অনৈক্য,ঐক্যের অভাব 
প্রাগৈতিহাসিক,ঐতিহাসিক কালের পূর্ববর্তী 
ঐশ্বর্যবান,ঐশ্বর্যের অধিকারী যিনি 
অকালমৃত্যু,আয়ুষ্কাল পূর্ণ না হয়ে মৃত্যু
আবেদনীয়,আবেদনের যোগ্য
আচারনিষ্ঠ,আচারে নিষ্ঠা আছে যার
আঠালো,আঠাযুক্ত যা
আয়ুষ্য,আয়ুর পক্ষে হিতকর
কৃতার্থমন্য,আপনাকে কৃতার্থ মনে করেন যিনি
পণ্ডিতম্মন্য,আপনাকে পণ্ডিত মনে করেন যিনি
আতপশুষ্ক,আতপে শুল্ক যাহা
অনাদি,আদি নেই যা
আস্তিক,আল্লাহর ওপর বিশ্বাস আছে যার
নাস্তিক,আল্লাহর ওপর বিশ্বাস নেই যার
মিতব্যয়ী,আয় অনুসারে ব্যয় করেন যিনি
অমিতব্যয়ী,আয় অনুসারে ব্যয় করেন না যিনি
অশ্রুতপূর্ব,আগে কখনো শোনা যায়নি যা
আরাধ্য,আরাধনা করার যোগ্য
আত্মকর্তৃত্ত্ব,আপন কর্তৃত্ত্ব যেখানে শুরু
আধ্যাত্মিক,আত্মার সম্বন্ধীয় বিষয়
আত্মীয়,আত্মার সাথে সম্পর্ক যা
আচরণীয়,আচরণের যোগ্য
আনন্দপ্রদ,আদর প্রদান করে যে
আশাতীত,আশাকে অতিক্রম করে যে
আত্মকেন্দ্রিক,আপনাকে কেন্দ্র করে যার চিন্তা
খ-ধূপ,আকাশে (খ-তে) ওড়ে বাজি
আতপত্র,আতপ থেকে ত্রাণ করে যা
অনায়ত্ত,আয়ত্ত করা হয়নি এমন
অপ্রত্যাশিত,আশা করা যায়নি এমন
অপ্রাসঙ্গিক,আলোচ্য বিষয়ের সাথে সম্পর্কহীন
আক্রান্ত,আক্রমণ করা হয়েছে এমন
আরদ্ধ,আরম্ভ করা হয়েছে
আরূঢ়,আরোহণ করেছে এমন
উপক্রমণীয়,আরম্ভ করার যোগ্য
আকাঙ্ক্ষণীয়,আকাঙ্ক্ষা করার যোগ্য
চিরাচরিত,আবহমান কাল ধরে অনুষ্ঠিত
দুরাক্রম্য,আক্রমণ করা কঠিন
দুরারোহ,আরোহণ করা শক্ত
হৃতাদর,আদর বা সম্মান নষ্ট হয়েছে এমন
বিচরণ,ইতস্তত ভ্রমণ
ভ্রাম্যমাণ,ইতস্তত গমনশীল
দাগী,ইতোপূর্বে দণ্ডিত ব্যক্তি
ঐতিহাসিক,ইতিহাস জানেন যিনি
ঐরাবত,ইরাবতে জাত
পরলোক,ইহলোকের পরবর্তী লোক
ঈদৃশ,ইহার তুল্য বা সদৃশ
স্বেচ্ছাচারী,ইচ্ছামতো কাজ বা আচরণ যে করে
ঐচ্ছিক,ইচ্ছার অনুরূপ বা অধীন
ইন্দ্রজিৎ,ইন্দ্রকে জয় করেছে যে
জিতেন্দ্রিয়,ইন্দ্রিয়কে জয় করেছেন যিনি
যথেষ্ট,ইষ্টকে অতিক্রম না করে
ঐহিক/ইহলৌকিক,ইহলোক বিষয়ক
ঐন্দ্রজালিক,ইন্দ্রজাল জানেন যিনি
ইন্দ্রাণী,ইন্দ্রের পত্নী
অট্টালিকা,ইষ্টক নির্মিত ঘর
ফতোয়া,ইসলামী শাস্ত্র অনুযায়ী নির্দেশ
আলোকসামান্য,ইহলোকে সামান্য নয়
কাফের,ইসলামে অবিশ্বাসী
নন্দন,ইন্দ্রের বাগান
দম,ইন্দ্রিয়ের সংযম
ঐক্ষিক,ইক্ষু বিষয়ক
ইদানীং,ইতোমধ্যেকার ঘটনা
ইতিহাসবেত্তা,ইতিহাসে অভিজ্ঞ যিনি
ইহকালসর্বস্ব,ইহকালই সর্বস্ব যা
ঐন্দ্রজালিক,ইন্দ্রজাল (যাদু) বিদ্যায় পারদর্শী
উচ্চৈঃশ্রবা,ইন্দ্রের অশ্ব
অজর,জরগ্রস্ত হয় না এমন
অজ্ঞেয়,জানতে বা বুঝতে পারা যায় না এমন
জ্ঞাত/বিদিত,জানা হয়েছে এমন
মুক্তা,ঝিনুকের গর্ভজাত রত্ন
ঝঙ্কার/ঝনৎকার,ঝন ঝন শব্দ
ঝাড়ন,ঝড়োমাছ হয় যার দ্বারা
ঝটকা,ঝট করে টান
ঝাপট,ঝড়ের প্রচণ্ড ধাক্কা
ঝগড়াটে,ঝগড়া করা স্বভাব যার
ঝলমলে,ঝলকে ঝলকে উজ্জ্বলতা প্রকাশ পায় যার
নিটোল,টোল পড়েনি এমন
কস্তা,টকটকে লাল
মহাজনী,টাকা ধার দেয়ার কাজ
টলটলায়মান,টলে পড়ে যাওয়ার উপক্রম হয়েছে এমন
টিপকল,টিপিয়া আটকানো যায় এমন যন্ত্রযুক্ত দ্রব্যাদি
টিপটিপে,টিপটিপ করে ভয়ে বা দুর্বলতায় যার অন্তর
টপুটপে,টপুটপ করে পড়ে এমন
টসটসে,টসটসে করছে এমন
ডাকহরকরা,ডাক বহন করে যে
বৈঠা,ডিঙি বাইবার দাঁড়
তা,ডিম ফোটানোর জন্য তাপ
ডিম্বাণু,ডিম্বাশয়ের মধ্যে প্রাণকোষ
আনারকলি,ডালিমের কুঁড়ি
ডুবুরী,ডুব দিয়ে আনে যে
ডুবুডুবু,ডুবার অবস্থা হয়েছে এমন
ডুবন্ত,ডুবে যাচ্ছে যা
ডাকমাশুল,ডাকের জন্য নির্ধারিত মাশুল
ডাকপিয়ন,ডাকঘরের চিঠি বিলি করে যে পিয়ন
ঢাকাই,ঢাকায় প্রস্তুত
ঢ্যাপসা,ঢিপির মতো
ঢাকী,ঢাক বাজায় যে
ছলছল,ঢেউয়ের ফলে হঠাং ছল শব্দ
তাদৃশ,তার মতো
তবলচি,তবলায় দক্ষ বা নিপুণ
তপোবন,তপস্যার নিমিত্ত বন
তীরন্দাজ,তীর নিক্ষেপে ওস্তাদ
ত্রিপদী,তিন পদের সমাহার
বেতাল,তালের অভাব
তালব্য,তালু থেকে উচ্চারিত
সতর্ক,তর্কের সাথে বর্তমান
তার্কিক,তর্কশাস্ত্রে পটু
তুরগ,ত্বরায় গমন করে যে
তেহাই,তিন ভাগের এক ভাগ
ত্রিবেণী,তিন বেনীর সমাহার
ত্রিফলা,তিন ফলের সমাহার
লীন,লয় প্রাপ্ত হয়েছে যা
পাণ্ডুলিপি,লিখিত খসড়া
লম্বমান,লম্বা হয়ে ঝুলছে এমন
লোলজিহ্বা,লালসাযুক্ত লকলকে জিহ্বা
অলক্ষিত,লক্ষ্য করা হয়নি এমন
লিখিতব্য,লিখতে হবে যা
লম্বোদর,লম্বা উদর যার
লভ্যাংশ,লাভের অংশ
বিদিত,যা জানা গিয়েছে
গণিত,যাকে গণনা করা হয়েছে
উক্ত,যা বলা হয়েছে
অনির্বচনীয়,যা বর্ণনা করা যায় না
দুর্ছেদ্য,যা ছেদন করা দুঃসাধ্য
দৃষ্টিনন্দন,যা দেখলে আনন্দ লাভ হয়
নিয়ন্ত্রক,যার দ্বারা নিয়ন্ত্রিত বা পরিচালিত হয়
প্রদেয়,যা প্রদান করতে হবে
প্রপাত,যে স্থানে নির্ঝর পতিত হয়
প্রদত্ত,যা প্রদান করা হয়েছে
প্রশংসিত,যার প্রশংসা করা হয়েছে
প্রাগুক্ত,যা পূর্বে উক্ত বা উল্লিখিত
প্রাগৈতিহাসিক,যে যুগ হতে ইতিহাস জানা গেছে তার পূর্ববর্তী যুগের
বেনজির,যার কোনো নজির নেই
যুদ্ধরত,যুদ্ধ করছে এমন
সদ্যপ্রসূত,যে এইমাত্র জন্মেছে
আটাশে,আট মাসে জন্মেছে যে
আত্মভোলা,আপনাকে ভুলে থাকে যে
আকাশবাণী,আকাশ মাধ্যমে আগত বাণী
আরোহী,আরোহণ করে যে
আদরণীয়,আদরের যোগ্য যা
আগত,আসছে যে
আশীবিষ,আশীতে বিষ যার
আগামী,আসবে যে
আঙ্কৃষ্যমান,আকৃষ্ট হচ্ছে যে
আলাপী,আলাপ করতে যে তৎপর
উপাচার্য,আচার্যের সদন
বে-আইনি,আইন বিরোধী কাজ
ক্রন্দসী,আকাশ ও পৃথিবী
ক্ষুণ্ণিবৃত্তি,আহারের দ্বারা ক্ষুধার নিবৃত্তি
খেচর,আকাশে চরে যে
চিরকুমার,আজীবন অবিবাহিত আছে যে
প্রতিঘাত/প্রত্যাঘাত,আঘাতের বিপরীত
আজ্ঞাবহ,আজ্ঞা বহন করে যে
আকাশী,আকাশের রং
পরশু,আগামীকালের পরের দিন
ছদ্মবেশ,আত্মগোপনের উদ্দেশ্যে পরিধেয়
ব্যঞ্জনা,অভিধানিক অর্থ ছাড়া অন্য অর্থের দ্যোতনা
দুর্বৎসর,আকাশের বছর
নভোচারী,আকাশে বিচরণ করে যে
আহূত,আহ্বান করা হয়েছে যাকে
জাতশত্রু,আজন্ম শত্রু
অবগাহন,আবদ্ধ জলে নেমে স্নান
নদ্য,আনন্দের যোগ্য
বেয়াদব,আদব-কায়দা জানে না যে
লেফাফাদুরন্ত,আদব কায়দায় যে চৌকস কিন্তু নির্কর্মা
স্ফুলিঙ্গ,আগুনের স্ফুলিঙ্গ
গদগদ,আবেগজড়িত কণ্ঠস্বর
কটাক্ষ,আড় চোখে চাউনি
বে-আক্কেল,আক্কেল নেই যার
সাকার,আকারের সঙ্গে বিদ্যমান
উপদ্রব,আকস্মিক দুর্দেব
দ্রাক্ষা,আঙুর ফল
আরূঢ়,আরোহণ করেছে এমন
আমিষাশী,আমিষ খান যিনি
নিরামিষাশী,আমিষ খান না যিনি
বিষাদ,আশা ভঙ্গজনিত খেদ
নিরলস,আলস্য নেই যার
প্রতিবিম্ব,আয়নায় দেখা মূর্তি
মাদৃশ,আমার সদৃশ
আকাশচুম্বী,আকাশ চুম্বন করে যা
আকাশস্পর্শী,আকাশ স্পর্শ করে যা
দুলালী,আদরণীয় কন্যা
অতিথি,আপনের কোনো তিথি নেই যার
অচিন্তিতপূর্ব,আগে যা চিন্তা করা হয়নি
খেচর,আকাশে উড়ে বেড়ায় যে
নিরামিষ,আমিষের অভাব
আটপৌরে,আট প্রহর পরার মতো
সানন্দ,আনন্দের সাথে বর্তমান
বর্ণচোরা,আপনার বর্ণ লুকায় যে
সশঙ্কক,আঘাতী যুদ্ধ করে যে
দুরারোগ্য,আরোগ্য হওয়া কঠিন যা
সাডম্বর,আড়ম্বরের সাথে বর্তমান
আড়ি পাতা,আড়ালে থেকে অন্যের কথা শোনা
নিরাশ্রয়,আশ্রয় নেই যার
আকাশী,আকাশের মতো রঙ
বিহঙ্গ,আকাশে গমন করে যা
আত্মসর্বস্ব,আত্ম বিষয়ককেই সর্বস্ব বলে মনে করে
সাদরে,আদরের সাথে
আদ্যন্ত,আদি থেকে অন্ত পর্যন্ত
আত্মঘাতী,আপনাকে যে হত্যা করে
আসমানী,আসমানের মতো রঙ
জন্মান্ধ,জন্ম থেকে অন্ধ
বাদাঘ্ন,জমল বা বাঘের উপদ্রব
দুর্দ্দশ,জন্ম কথা কঠিন
দানপত্র,জলার্থে প্রদত্ত উপহার
হিল্লোল,জলের ছোট ছোট তরঙ্গ
জাত,জন্ম হয়েছে যার
জ্ঞেয়,জানার যোগ্য
শৈবাল,জলের ওপর ভাসমান তৃণ
কবকিব,জানোয়ারের শিশু
বনবাসী,জনশূণ্য স্থান
অজ্ঞেয়,জানা যায় না যা
জ্ঞানপাপী,জানিয়া যে পাপ করে
তনুজ,জাতিন্নি যে
জন্মজন্মান্তর,জন্ম জন্মান্তর
জলদস্যুতা,জলদস্যুর আক্রমণ
বসা,জানোয়ারের চর্বি
জ্ঞানগতি,জানা ও গতি
জলযান,জলের ওপর ভাসমান
জাতবুদ্ধি,জন্মলগ্ন থেকে যে বুদ্ধিদীপ্ত
জ্ঞাতব্য,জানবার যোগ্য
জাতিচ্যুত,জাতি থেকে চ্যুত
আজন্ম,জন্ম কাল থেকে
জবরদখল,জোর করে অধিকারে নেওয়া
বাচ্চ,জানোয়ারের ছানা
ডোবা,জলাশয়
জীবানু,জীবের বাস
পিঞ্জর,জানোয়ারের খাঁচা
জলশক্তি,জল বিনাশের শক্তি
জিজ্ঞাসা,জানিবার বিষয়
জিজ্ঞাসিত,জানিবার ইচ্ছা
জবরদস্তি,জোর করে যা আদায় করা হয়েছে
জয়ন্তী,জয়ের জন্য শুভ উৎসব
জলাধার,জলধারা যেখানে সঞ্চিত হয়
গানওয়ালী,জীবিকার জন্য যে গান করে
জ্ঞেয়,জানা উচিত
মুচি,জুতা তৈরি যে করে
জাগ্রত,জাগিয়া থাকে যে
জবরদস্তি,জোর করে যা নেওয়া হয়
জলযান,জলের ওপর যে চলে
জীবিকা,জীবন ধারনের জন্য অবলম্বন উপায় বা পেশা
তরিত,যাকে পার করা হয়েছে 
তরিত্র,যার দ্বারা পার হওয়া যায় 
তাপক,যে তাপ দেয় 
তাপিত,যা গরম করা হচ্ছে 
দণ্ডিত,যে সাজা পেয়েছে 
দুরারোগ্য,যার আরোগ্য দুঃসাধ্য 
দুরারোহ,যাতে আরোহণ করা দুঃসাধ্য 
দুরুচ্চার্য,যার উচ্চারণ কষ্টকর 
দুর্গম,যেখানে যাওয়া কষ্টকর 
দুর্ঘট,যা ঘটা শক্ত 
দুর্ধর্ষ,যাকে জব্দ করা দুঃসাধ্য 
দুর্নিবার,যাকে রোধ করা দুঃসাধ্য 
দুর্নিরীক্ষ্য,যাকে নিরীক্ষণ করা কষ্টকর 
দুর্বোধ্য,যা বুঝতে পারা কষ্টকর 
দুর্ভক্ষ্য,যা খাওয়া কষ্টকর 
দুর্লঙ্ঘ্য,যা লঙ্ঘন করা দুঃসাধ্য 
দুষ্পাচ্য,যা পরিপাক করা শক্ত 
দুস্তর,যা পার হওয়া দুঃসাধ্য 
দোজবরে,যে দ্বিতীয়বার বিবাহ করে 
দ্রষ্টব্য,যা দেখা বা পড়া উচিত 
দ্বিষ্ট,যার প্রতি দ্বেষ করা হয়েছে 
ধৃত,যা ধারণ করা হয়েছে 
ধ্যাত,যে বিষয়ে ধ্যান করা হয়েছে 
নজরবন্দী,যাকে চোখে চোখে রাখা হয়েছে 
নিক্ষিপ্ত,যা ছুঁড়ে ফেলা হয়েছে 
নিখাত,যা খনন করা হয়েছে 
নিরবকাশ,যার অবসর নেই 
নিরীক্ষক,যে নিরীক্ষণ করে 
নিরুপদ্রব,যাতে উৎপাত নেই 
নিরেট,যা ফাঁপা বা তরল নয় 
নির্গুণ,যার ঘৃণা নেই 
নির্বিকল্প,যার বিকল্প নেই 
নির্মীয়মাণ,যা নির্মিত হচ্ছে 
পণ্ডিতম্মন্য,যে নিজেকে পণ্ডিত মনে করে 
পদাতিক,যে সৈন্য পায়ে চলে যুদ্ধ করে 
পদ্মাকর,যে জলাশয়ে বহু পদ্ম জন্মে 
বিমুখ,যে মুখ ফিরিয়ে আছে 
পরোপজীবী,যে অপরের সাহায্যে জীবিকা নির্বাহ করে 
পর্ণাশী,যে সকল জীব পাতা খায় 
পাদপ,যে পা দ্বারা পান করে 
পিশুন,যে কুঁৎসা রটায় 
পিষ্ট,যা পেষা হয়েছে 
দৃষ্টপূর্ব,যা পূর্বে দেখা হয়েছে 
পূর্বাভাস,যা পূর্বে জানানো হয়েছে 
পূর্বোক্ত,যা পূর্বে বলা হয়েছে 
প্রকাশমান,যা প্রকাশিত হয়েছে 
প্রবিষ্ট,যে প্রবেশ করেছে 
প্রযুক্ত,যা প্রয়োগ করা হয়েছে 
প্রতিভাসিক,যা বাস্তব নয় কিন্তু বাস্তব বলে প্রতীয়মান হয় 
প্রীয়মাণ,যে প্রীতি অনুভব করছে 
ফলোন্মুখ,যা শীঘ্রই ফল দেবে 
বক্তব্য,যা বলতে হবে 
বক্ষ্যমাণ,যা বলা হবে 
বদরাগী,যে অল্পে রাগ করে 
বনস্পতি,যে বৃক্ষের ফুল হয় না কিন্তু ফল হয় 
বন্দক,যে বন্দনা করে 
বন্দিত,যাকে বন্দনা করা হয়েছে 
বর্ণচোরা,যে নিজের রং গোপন করে 
বর্ণান্ধ,যে রং চিনতে পারে না 
বশ্য,যা বশ করার যোগ্য 
বশীভূত,যে বশ হয়েছে 
বহবাশী,যে আশা করে খুব বেশি 
বাক্নিষ্ঠ,যে কথা ঠিক রাখে 
বাঞ্ছাকল্পতরু,যিনি সকল বাঞ্ছা পূরণ করেন 
বিজিত,যা জয় করা হয়েছে 
বিদারক,যা বিদীর্ণ করে 
করভ,উটের/হস্তীর শাবক 
নির্ঘোষ,উচ্চ শব্দ 
তাণ্ডব,উদ্দাম নৃত্য 
উপাস্য,উপাসনার যোগ্য 
উড্ডীয়মান,উড়ে যাচ্ছে যা 
উত্তাপিত,উত্তপ্ত করা হয়েছে 
সুফলা,উত্তম ফল যার 
উত্তুরে,উত্তর দিক থেকে আগত 
সুপুরুষ,উত্তম পুরুষ 
পল্লব/কিশলয়,উদ্ভিদের নতুন পাতা 
বালাখানা,উপরতলার ঘর 
অনোচিত,উচিতের অভাব 
অনুদারতা/অনোদার্য,উদারতার অভাব 
প্রত্যুপকার,উপকারের বিনিময়ে উপকার 
উড়োজাহাজ,উড়ে চলে যে জাহাজ 
উত্তরাস্য,উত্তর দিকে মুখ করে আছে 
উৎপাদ্যমান,উৎপন্ন হচ্ছে এমন 
উৎপাদক,উৎপাদন করেন যিনি 
উদাসী,উদাস হয়ে পড়ে আছে যে 
উপচীয়মান,উপচিয়ে পড়ছে যা 
উত্থাতু,উত্থাতের শিকার হয়েছে যে 
উদ্দীপক,উদ্দীপনা প্রকাশ করে যা 
খেচর,উড়ে চলে যে 
উচ্ছেদ্য,উচ্ছেদ করার যোগ্য 
উদ্যোগী,উদ্যোগ গ্রহণ করেন যিনি 
উপভোগ্য,উপভোগ করার মতো যা 
উপবিষ্ট,উপবেশন করে আছে যে 
উপবাসী,উপবাস করেন যিনি 
উদ্যাপাতা,উদ্যাপন করেন যিনি 
উপর্যুক্ত,উপরে উক্ত হয়েছে এমন 
উপলিপ্ত,উপরে লেপ দেওয়া হয়েছে এমন 
উদ্দীপক,উত্তেজন করেন যিনি 
উদ্দীপিত,উত্তেজন সহ্য করে যে 
উদরসর্বস্ব,উদর সর্বস্ব যা 
উদন্যা,উদক (জল) পানের ইচ্ছা 
উপজ্ঞা,উপদেশ ছাড়া লব্ধ প্রথম জ্ঞান 
অনুচ্চারিত,উচ্চারণ করা হয়নি এমন 
অনুপকৃত,উপকার লাভ করেনি এমন 
অনুপদিষ্ট,উপদেশ দেয়া হয়নি এমন 
অনুপমেয়,উপমা দেয়া যায় না এমন 
উত্তোলিত,উত্তোলন করা হয়েছে এমন 
উত্থাপিত,উত্থাপন করা হয়েছে এমন 
উৎপদ্যমান,উৎপন্ন হচ্ছে এমন 
উৎসাদনীয়,উচ্ছেদের যোগ্য 
উদয়োন্মুখ,উদিত হবার উপক্রম হয়েছে এমন 
উপকার্য,উপকার লাভের যোগ্য 
উপচীয়মান,উপচিত বা বর্ধিত হচ্ছে এমন 
উপেক্ষিত,উপেক্ষা করা হয়েছে এমন 
লক্ষ্যভ্রষ্ট,উদ্দেশ্য অনুসরণ করে শেষ পর্যন্ত চলতে পারেনি এমন 
হৃদয়ঙ্গম,উপলব্ধি করা হয়েছে এমন 
নিশীথ,গভীর রাত্রি 
গজমতী,গজভুক্ত বা শাকাল 
গোধূলি,এই রাত্রের শুরু 
অতিথি,গ্রহ আগত শ্বেত ব্যক্তি 
গণ্ডগোলে,গণ্ডগোলে বা হট্টগোলে মত্ত 
রাসভ,গাধার ডাক 
পর্ণকুটির,গাছের পাতায় তৈরি ঘর 
গায়ক,গান করে যে 
গাড়োয়ান,গাড়ি চালায় যে 
গপাগপ,গপুপ গপুপ করে 
জিগীষা,গোপনে করার ইচ্ছা 
গুরু,গুরুর নির্দেশ 
সন্ন্যাসী,গৃহ ত্যাগ করে যে 
গল্প সংগ্রাহক,গল্প সংগ্রহ করে যে 
রাখাল,গৌ (গোরু) দেখাশোনা করে যে 
গোপালিনী,গোপালকে লালন-পালনকারী কন্যা 
আকাশচুম্বী,গগনস্পর্শী 
কুঞ্জ,গাছপালার সমাবেশ 
গোয়াল,গৌ (গরুর) বাসস্থান 
বাসন্তী,গোলাপী রঙের পোশাক 
জঙ্গল,গভীর অরণ্য 
গাঙ্গীয়,গঙ্গা হইতে উৎপন্ন 
পাড়ফল,গাছ হতে ঝরে পড়ে যে ফল 
নিশীথ,গভীর রাত্রি 
সঘর্ম,ঘাম ঝরছে এমন 
নির্ঘোষ,ঘড়ির ঘণ্টা 
তিমির,ঘোর অন্ধকার 
ঘরোয়া,ঘর করে যে 
ত্যাড়াব্যাঁকা,ঘাড় বাকা করে যে 
সুষুপ্তি,ঘুমানোর ইচ্ছা 
জীন,ঘোড়ার পিঠে গদি 
আস্তাবল,ঘোড়া থাকে যেখানে 
সাদী,ঘোড়া চালায় যে 
হ্রেষা,ঘোড়ার ডাক 
সঙ্কট,ঘোর বিপদ 
ঘনঘটা,ঘন ঘন আসা 
ঘূর্ণায়মান,ঘুরছে যা 
তামসী,ঘোর অমাবস্যা 
ঘৃণ্য,ঘৃণা করার যোগ্য 
ঘর্ঘর,ঘণ্টার শব্দ 
তৃণাঙ্কুর,ঘাসের ছোট ডগা 
ঘুনেধরা,ঘুন পোকা খেয়েছে যা 
পর্যটন,ঘুরে ফিরে বেড়ানো 
তমসাবৃত,ঘন অন্ধকার 
ঘড়িমিস্ত্রী,ঘড়ি তৈরি করে যে 
টিকটিক,ঘড়ির শব্দ 
চাক্ষুষ,চক্ষুর সামনে 
চক্রগতি,চক্রাকারে গতি 
চপলতা,চলমান গতির ভাব 
দণ্ডবৎ,চরণতলে পতন 
নশ্বর,চিরস্থায়ী নয় যা 
চতুরঙ্গ,চতুরঙ্গ সৈন্যদল 
নকুলদানা,চিনির তৈরি দানা 
দিবারাত্র,চব্বিশ ঘন্টা বা অহোরাত্র 
দুষ্পাপ্য,চেয়ে পাওয়া যায় না যা 
চিরস্মরণীয়,চিরকাল মনে রাখার যোগ্য 
ক্ষণস্থায়ী,চিরকাল স্থায়ী নয় যা 
চাক্ষুষ,চক্ষু দিয়ে দেখা হয় যা 
চমকপ্রদ,চমক দেয় যা 
ছাতারি,ছাতা তৈরি করে যে 
সুরভি,ছড়িয়ে পড়া গন্ধ 
ছায়াসঙ্গী,ছায়ার মতো অনুগামী 
ছেলেধরা,ছেলে ধরা যে 
উপনদী,ছোট নদী 
বিক্ষিপ্ত,ছড়িয়ে ছিটিয়ে থাকা 
ছলনাময়ী,ছলনা করে যে নারী 
ষাণ্মাসিক,ছয় মাস অন্তর 
ছাড়প্রাপ্ত,ছাড় দেয়া হয়েছে যা 
বিবাদমান,বিবাদ করে যে
